name,location,address,hours,services,direction_link
Sunway Velocity Two,55100 Wilayah Persekutuan Kuala Lumpur.,"Lot VS1-G-01, Sunway Velocity Two, Jalan Peel, Seksyen 90, 55100 Wilayah Persekutuan Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Kidzania Kuala Lumpur,Selangor,"Curve NX, Jalan PJU 7/5, Mutiara, Damansara 47810 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Seventeen Mall,Selangor,"998, Jalan 17/38, Seksyen 17, 46400 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
SHELL Cyberjaya Autoville,Selangor,"Stesen Minyak Shell Autoville, Persiaran Mutilmedia, Cyber 10, 63000, Cyberjaya, Selangor",Not specified,"Coffee, Food, Beverages",
Cybersouth Dengkil,Selangor,"No 35-G, Jalan PP 1/1, Park Place 1, Cybersouth, 43800 Dengkil, Selangor",Not specified,"Coffee, Food, Beverages",
UCSI University KL,Kuala Lumpur.,"Lot 6, Block G, Ground Floor, UCSI University, No. 1, Jalan Menara Gading, UCSI Heights (Taman Connaught), 56000 Cheras, Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Avenue K,50450 Kuala Lumpur.,"Lot C-6, Level Concourse, Avenue K, 156 Jalan Ampang, 50450 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Centrepoint Bandar Utama,Selangor,"LOT F103, First Floor, Centrepoint Bandar Utama, 3, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Setiawangsa,WP Kuala Lumpur,"No 30-G (G-Floor), Jalan Setiawangsa 10 (10/55A), Taman Setiawangsa, 54200, WP Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Sungei Wang Plaza,Wilayah Persekutuan Kuala Lumpur,"Lot PK-5, Sungei Wang Plaza, Jalan Sultan Ismail, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
